run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5121, 0, 37, 5, 277, 4508.63, 288, 4550.59
5121, 2, 122, 6, 2196, 4730.04, 2200, 4865.61
5121, 8, 418, 4, 265, 4056.53, 266, 4072.48
5121, 8, 422, 0, 114, 2413.47, 665, 4110.45
5121, 13, 698, 1, 2953, 1664.85, 3011, 1973.59
5121, 24, 1210, 7, 1981, 3949.3, 2004, 4033.83
5121, 31, 1581, 2, 125, 4913.58, 127, 4915.96
5122, 5, 287, 3, 236, 1564.65, 245, 1705.64
5124, 13, 679, 3, 1795, 4223.15, 1795, 4229.65
5124, 16, 804, 4, 702, 2960.8, 704, 2960.97
5124, 30, 1533, 4, 2640, 1317.52, 2661, 1348.13
5124, 35, 1768, 4, 3179, 3718.24, 3182, 3720.14
5124, 42, 2134, 4, 2553, 3930.18, 2571, 4003.97
5124, 43, 2198, 8, 111, 3446.92, 112, 3586.49
5125, 3, 165, 1, 2348, 4415.25, 2357, 4422.04
5125, 6, 316, 4, 2671, 2654.26, 2726, 2753.65
5125, 8, 443, 6, 2041, 3155.06, 2053, 3235.53
5125, 14, 748, 4, 1697, 3229.67, 1735, 3368.35
5125, 15, 795, 3, 127, 5117.41, 238, 5352.64
5127, 34, 1707, 0, 3181, 3556.84, 3432, 4155.61
5127, 36, 1802, 3, 1524, 4373.44, 1529, 4375.9
5127, 36, 1825, 9, 3170, 2113.4, 3177, 2117.56
5127, 43, 2166, 5, 1576, 4620.22, 1582, 4704.76
5127, 46, 2306, 3, 1104, 5191.47, 1108, 5212.82
5127, 59, 2967, 4, 2307, 888.16, 2313, 900.385
5127, 88, 4417, 5, 1939, 2728.18, 1952, 2749.88
5127, 90, 4543, 7, 25, 3187.95, 49, 3211.28
5127, 99, 4951, 8, 761, 1328.76, 764, 1336.42
5127, 114, 5727, 6, 126, 2740.73, 130, 2774.59
5127, 122, 6141, 9, 400, 4823.59, 404, 4824.93
5127, 122, 6147, 3, 1388, 1748.13, 1391, 1799.02
5127, 143, 7190, 4, 1534, 2839.42, 1566, 2871.36
5127, 146, 7341, 7, 3287, 4795.06, 3337, 4848.23
5128, 7, 384, 7, 1777, 5216.48, 1783, 5218.56
5130, 8, 411, 10, 141, 2413.85, 161, 2511.33
5130, 39, 1952, 3, 510, 3384.29, 540, 3422.15
5130, 54, 2713, 5, 3028, 1972.85, 3070, 1983.78
5130, 58, 2907, 6, 2725, 4825.53, 2733, 4885.91
5130, 61, 3100, 6, 816, 3982.83, 843, 4087.68
5130, 68, 3410, 3, 2621, 4520.27, 2625, 4528.1
5130, 68, 3414, 8, 1731, 3267.73, 1744, 3614.25
5130, 75, 3764, 9, 1892, 3789.04, 1896, 3792.02
5130, 91, 4578, 3, 1869, 5339.51, 1881, 5341.41
5130, 93, 4653, 6, 2103, 3269.79, 2107, 3272.25
5130, 99, 4998, 4, 944, 4964.33, 954, 5011.48
5134, 5, 288, 1, 1951, 4494.8, 1958, 4651.37
5134, 6, 304, 0, 1995, 4302.79, 1997, 4346.1
5134, 15, 768, 7, 984, 3858.1, 986, 3859.24
5134, 15, 771, 4, 1081, 4568.6, 1092, 4571.32
5134, 27, 1354, 5, 1837, 3770.47, 1838, 3772.48
5134, 27, 1379, 2, 92, 898.771, 208, 1072.8
5134, 29, 1463, 1, 2490, 3708.27, 2524, 3747.57
5136, 13, 685, 5, 1158, 4988.69, 1158, 4989.9
5136, 47, 2377, 14, 1334, 1954.66, 1393, 2136.98
5136, 50, 2529, 4, 2587, 2648.5, 2628, 2948.7
5142, 16, 802, 8, 246, 2838.65, 298, 2944.05
5142, 18, 923, 5, 2863, 2676.28, 2868, 2696.62
5142, 36, 1833, 5, 1643, 2020.38, 1645, 2064.11
5146, 28, 1402, 4, 520, 1677.79, 533, 1699.84
5146, 37, 1863, 7, 2684, 4432.23, 2686, 4438.36
5146, 40, 2006, 9, 3257, 5232.45, 3266, 5276.63
5146, 49, 2495, 13, 1537, 5024.86, 1540, 5027.54
5146, 50, 2503, 3, 1858, 4131.25, 1889, 4287.11
5146, 61, 3080, 3, 2901, 4987.98, 2905, 5055.49
5147, 20, 1006, 4, 1470, 2983.06, 1473, 2983.44
5147, 54, 2734, 2, 3072, 4245.23, 3079, 4269.76
5147, 56, 2801, 4, 3087, 2210.89, 3109, 2220.04
5151, 12, 621, 1, 2183, 2750.55, 2203, 2869.5
5151, 30, 1506, 2, 2979, 2862.25, 2981, 2862.74
5151, 50, 2533, 5, 2167, 1416.11, 2174, 1432.73
5151, 63, 3190, 3, 372, 4748.04, 382, 4816.52
5151, 69, 3483, 5, 1998, 4741.46, 2021, 4912.71
5151, 82, 4123, 4, 2131, 4039.3, 2133, 4071.58
5151, 97, 4883, 11, 1907, 5193.95, 1920, 5199.56
5151, 108, 5443, 2, 1348, 4362.32, 1358, 4362.66
5151, 157, 7896, 4, 242, 5237.44, 243, 5264.77
5151, 158, 7922, 1, 2979, 4940.87, 2999, 5036.59
5151, 158, 7923, 1, 17, 3063.31, 55, 3079.1
